Unnamed: 0,member1,member2,weight
2459,76743532,14568344,2
15501,229310518,219183495,1
16906,229015643,236751111,1
20309,209944678,14116864,1
15682,21561411,223571537,1
17322,204669023,106112142,1
18141,195657825,81622482,1
24262,189857979,201084834,1
6840,225249498,208987635,2
11249,102928292,9852711,2
22943,13172898,94791642,1
20367,209944678,150289852,1
14005,182648870,29720532,1
16747,25034832,53695782,1
9246,226331718,86004402,2
22840,195657884,201640410,1
2191,203457314,203619085,2
8809,192711483,210614410,2
20164,6160486,202059088,1
12455,234684445,66750862,1
24317,28573892,184211580,1
10809,184389351,197630409,2
8696,211585840,11804293,2
24649,28573892,206835363,1
19245,213745765,201314326,1
16621,25034832,109826772,1
2290,19366751,183378573,2
5061,203818557,47572122,2
1622,60195472,184251699,2
13565,205193250,33264492,1
14747,198574124,199290936,1
20667,88375412,12781914,1
19313,213745765,32741722,1
3727,161055882,211531285,2
14258,115965992,195794673,1
7650,28608902,199290936,2
6233,76842942,71912792,2
8299,44927672,3832324,2
1270,214761951,2606806,2
5626,32671432,137411322,2
24371,28573892,161247672,1
23576,191758521,211365934,1
10062,195136851,188747610,2
17485,204669023,195856735,1
18223,195657825,187963279,1
13401,205193250,207446099,1
8189,199789219,194078775,2
4135,190055719,4183253,2
7378,5900662,10750729,2
18686,209453152,210137314,1
9384,14486634,73151432,2
18271,195657825,230373522,1
22701,226951319,231316095,1
3233,209224665,224461910,3
4457,204244320,198393616,2
22548,190939281,205954558,1
809,207061281,4193895,2
5579,32671432,212243049,2
17750,7864416,183201879,1
9071,127601602,227348607,2
15546,229310518,218572495,1
12885,226754592,202105224,1
20021,6160486,197720738,1
21468,13795469,10762405,1
3202,216892372,191426144,2
11123,49647392,199602237,2
18520,195657825,59162062,1
11556,187371529,206682579,3
20301,6160486,189833182,1
21360,185106564,197981784,1
23658,191758521,228370847,1
18082,195657825,133280972,1
7895,13109793,80687142,3
18792,209453152,13501170,1
18726,209453152,41855402,1
22453,190939281,41954092,1
13758,205193250,16019151,1
12953,226754592,213222177,1
19484,6160486,76202202,1
203,96862332,225531109,2
15131,210436146,85547452,1
14673,182190122,14231085,1
9165,220597234,226912477,2
2560,204211075,121431352,2
20822,96862332,189020185,1
21372,185106564,11804293,1
10069,199560555,157248622,2
15566,229310518,215872355,1
23975,191758521,211400429,1
5127,203818557,192452612,2
9080,127601602,187572521,2
5494,4720318,127601602,2
4951,211551769,71854632,3
7685,625050,177135382,2
3291,209224665,163565012,2
11151,187273009,189507209,2
22305,190939281,204097214,1
13470,205193250,146917802,1
17195,204669023,211533974,1
23371,195231923,225418539,1
10099,211029382,195645353,2
22756,226951319,206280668,1
8855,192711483,184778124,3
8852,192711483,71912792,3
10970,191106824,148050462,2
12664,234684445,132402812,1
16702,25034832,59892862,1
7674,625050,123370602,2
14589,182190122,207141840,1
12394,234684445,509953,1
12311,183566364,6298662,1
14519,182190122,3914044,1
20793,217907323,184778124,1
3430,222495708,77148762,2
21120,210337917,128276162,1
6040,118556542,48232882,2
6438,21563471,111592472,2
4114,190055719,156086352,2
9820,133926142,190237432,2
24102,189857979,188374094,1
21043,210337917,6548558,1
1357,208372328,202087007,2
8552,211585840,7816806,3
16411,34340942,189245046,1
21898,85557392,175655772,1
9572,11832553,214275739,2
12012,198737924,8998727,1
13632,205193250,221373602,1
18327,195657825,184699351,1
1497,60195472,4940157,3
16708,25034832,83029142,1
7604,141199742,199789219,2
23416,143818932,183535235,1
18262,195657825,197470325,1
565,21627131,17177591,2
15707,21561411,144741122,1
16939,229015643,5457376,1
15691,21561411,220104334,1
3853,212403372,106245022,2
1159,146112942,38506582,2
20150,6160486,170855672,1
12575,234684445,1920154,1
512,84738292,8813813,2
6659,14387362,75873682,2
21946,85557392,101457082,1
1463,4686468,206264205,2
20418,209944678,195665672,1
32,187334729,126066112,2
10020,195136851,199006708,2
20335,209944678,210903264,1
10082,211029382,51689852,2
10248,8228323,190675248,2
